Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Resettlement_ISO,Country_of_Resettlement,Female_0_17,Female_18_59,Female_60_plus,Female_unknown_age,Female_Total,Male_0_17,Male_18_59,Male_60_plus,Male_unknown_age,Male_Total,Other_Unknown,Grand_Total
2018,SYR,"Syrian Arab Rep.",ARG,"Argentina",3,1,0,0,4,4,1,0,0,5,0,9
2018,SYR,"Syrian Arab Rep.",NZL,"New Zealand",71,45,2,0,118,70,50,2,0,122,0,240
2018,SYR,"Syrian Arab Rep.",AUS,"Australia",15,10,1,0,26,21,11,1,0,33,0,59
2018,IRQ,"Iraq",PRT,"Portugal",18,39,1,0,58,21,29,0,0,50,0,108
2018,SYR,"Syrian Arab Rep.",USA,"United States of America",28,17,1,0,46,26,13,0,0,39,0,85
2019,SYR,"Syrian Arab Rep.",NOR,"Norway",403,345,12,0,760,522,339,6,0,867,0,1627
2019,SYR,"Syrian Arab Rep.",IRL,"Ireland",199,193,3,0,395,261,189,6,0,456,0,851
2019,IRQ,"Iraq",CAN,"Canada",101,160,17,0,278,113,168,18,0,299,0,577
2019,SYR,"Syrian Arab Rep.",SWE,"Sweden",634,538,23,0,1195,702,549,29,0,1280,0,2475
2019,IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",44,59,6,0,109,52,43,1,0,96,0,205
2019,IRQ,"Iraq",DNK,"Denmark",0,0,0,0,0,0,1,0,0,1,0,1
2019,SYR,"Syrian Arab Rep.",DEU,"Germany",2030,1765,164,0,3959,2294,1604,104,0,4002,0,7961
2019,SYR,"Syrian Arab Rep.",AUS,"Australia",80,63,4,0,147,93,60,3,0,156,0,303
2019,SYR,"Syrian Arab Rep.",PRT,"Portugal",115,115,3,0,233,162,140,4,0,306,0,539
2019,SYR,"Syrian Arab Rep.",HRV,"Croatia",10,8,1,0,19,15,7,0,0,22,0,41
2019,SYR,"Syrian Arab Rep.",FIN,"Finland",137,131,9,0,277,145,135,6,0,286,0,563
2019,IRQ,"Iraq",NLD,"Netherlands",0,1,0,0,1,1,5,0,0,6,0,7
2019,SYR,"Syrian Arab Rep.",BGR,"Bulgaria",41,39,0,0,80,49,39,0,0,88,0,168
2019,SYR,"Syrian Arab Rep.",NLD,"Netherlands",188,243,12,0,443,275,263,12,0,550,0,993
2019,SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",441,588,34,0,1063,589,525,48,0,1162,0,2225
2019,IRQ,"Iraq",NZL,"New Zealand",0,0,0,0,0,3,1,0,0,4,0,4
2019,SYR,"Syrian Arab Rep.",EST,"Estonia",1,2,0,0,3,0,2,0,0,2,0,5
2019,IRQ,"Iraq",AUS,"Australia",225,413,53,0,691,226,387,47,0,660,0,1351
2019,IRQ,"Iraq",PRT,"Portugal",55,73,8,0,136,63,64,2,0,129,0,265
2019,IRQ,"Iraq",FIN,"Finland",0,0,0,0,0,0,3,0,0,3,0,3
2019,IRQ,"Iraq",USA,"United States of America",24,3,0,0,27,39,4,0,0,43,0,70
2019,IRQ,"Iraq",ESP,"Spain",0,1,0,0,1,0,0,0,0,0,0,1
